label,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
5,0.2900920132680659,0.5690042052516124,0.477391929417296,0.932740291267363,0.3689124668206055,0.8792226842465708,0.8414620209020471,0.2512304520339962,0.4331521503996265,0.30326809277229505,0.6527422147445402,0.5486473809373407,0.7126079769527833,0.7541402580738674,0.01774536836973306,0.5972866768638384,0.46959749707763154,0.300941109158841,0.552386626390424,0.742552016064274
3,0.9341895718044542,0.12407147277329922,0.4277197036453626,0.3135559871188648,0.5121206285518236,0.38703104405807687,0.46337902958816324,0.1869068252305015,0.3948728121078834,0.4822864184744421,0.5855126867682116,0.16633500939849066,0.6882453939327086,0.913349118939658,0.3164708096479686,0.7201978572407024,0.7754393931520869,0.4717815248843352,0.2603283733128233,0.01838459965915873
0,0.9105096925286837,0.8486428827786378,0.7083873725909675,0.48315964165396696,0.83751233337575,0.27404411570501963,0.8796747672892913,0.47471507805443436,0.4739328985277981,0.10895313191160094,0.36763852786333373,0.3005319368018998,0.06792191166884809,0.29408231380450334,0.6479942087425514,0.1877568471451232,0.8649061692498482,0.43221519279613607,0.6328305340597503,0.2810819098874471
7,0.010571943942056183,0.6849440816259139,0.9262776939011802,0.8392354137296807,0.6906852982474733,0.9756322945908352,0.5222295320093365,0.7521875676973098,0.056401272541465985,0.12453437576033521,0.70191832482632,0.6763956412573972,0.3475023430070491,0.10658457236114227,0.21156877818807074,0.8231268212260199,0.9290347923507127,0.03374528079906025,0.6530437241290525,0.8879575073340757
4,0.20533658367940044,0.13114223952308413,0.19367094751120117,0.12894899175647323,0.6384128581244385,0.13236222367711137,0.5054858299372614,0.8860616691693051,0.9538768194896229,0.18488700299247107,0.565263811623495,0.3983303587382665,0.005681399035474821,0.3869704116542335,0.49064891917563913,0.7766865769558492,0.5300127810076842,0.7107998991010844,0.4471962222121725,0.5999700499507415
8,0.3963551141298999,0.48081019849163775,0.7526252118820694,0.3135628149745846,0.38039517080522023,0.9155870816636978,0.7642640298087919,0.5431019413681816,0.7162779058863101,0.4459082451806785,0.703559279703376,0.5800576026395805,0.49863595699158203,0.06471469279512587,0.04664057598826399,0.544871095608657,0.11501924925574336,0.5280483626802993,0.415263311701803,0.8030035490339655
0,0.5759159417589778,0.6765067766409596,0.025360279922281292,0.17863448555694994,0.6896533973049646,0.24141156468592917,0.8822771103788682,0.41618552637543904,0.18260645022634836,0.06034118412919598,0.2537605819890838,0.738675404056251,0.6877898970542943,0.6440410800626324,0.42876901329295725,0.6305622843916417,0.9686939919753775,0.9075833158215862,0.8812537284428135,0.5188631613189727
5,0.9370259195011126,0.6766528687927207,0.5450650148906959,0.35372014394580786,0.7052763330029539,0.6243927961777735,0.32832869843445256,0.4691852066661052,0.801188614451929,0.9497807176982893,0.9871598666289723,0.04793545381633679,0.2629525216394477,0.8813053636160653,0.38226877857017993,0.8584069360280552,0.66101793779253,0.34496058677355856,0.9573874369998047,0.5850554821037324
1,0.7277814998000008,0.6430410256237916,0.5625649793654461,0.4941977681108245,0.9799450207645385,0.6748169651662176,0.5599525749633696,0.6431040979230491,0.013941103073440653,0.02559299236188939,0.5159606691344102,0.8668617956437366,0.7325751640990711,0.8587502319267118,0.9853443401056944,0.08779069891622249,0.09032624900071762,0.3472987048215712,0.6443321117768582,0.9981080164454568
3,0.8280229788151712,0.9631956477627275,0.1550590819950376,0.4034200089092339,0.06405197446346356,0.8455210691161785,0.6848150528038928,0.10437128238843152,0.6594926790448532,0.7097075705891939,0.2041258580470603,0.19262586818160354,0.03559305486125086,0.9786543065595226,0.7148181662614432,0.7588857380225806,0.7879423452360184,0.9013503176188892,0.7289762532104483,0.44878350698640623
